날짜,종가,오픈,고가,저가,거래량,변동 %
2004년 06월 07일,809.45,788.41,809.51,788.41,390.67M,3.68%
2004년 06월 04일,780.74,772.94,781.96,764.93,421.77M,1.39%
2004년 06월 03일,770.06,810.98,812.54,770.06,465.57M,-4.27%
2004년 06월 02일,804.39,808.84,811.59,797.68,263.38M,-1.40%
2004년 06월 01일,815.77,807.55,817,804.31,315.87M,1.48%
2004년 05월 31일,803.84,811.46,811.59,793.77,288.48M,-1.55%
2004년 05월 28일,816.51,811.54,816.64,805.21,357.72M,1.75%
2004년 05월 27일,802.46,802.4,810.69,797.11,293.07M,2.35%
2004년 05월 25일,784.06,791.38,791.67,776.71,331.75M,-1.95%
2004년 05월 24일,799.64,795.99,802.04,790.73,302.77M,1.69%
2004년 05월 21일,786.36,780.99,786.36,768.63,324.17M,2.42%
2004년 05월 20일,767.79,766.04,782.92,757.49,357.50M,-1.31%
2004년 05월 19일,777.95,752.5,784.14,751.59,379.67M,4.85%
2004년 05월 18일,741.99,724.68,748.26,716.95,383.58M,1.78%
2004년 05월 17일,728.98,766.56,774.39,723.51,371.69M,-5.14%
2004년 05월 14일,768.46,798.8,802.32,759.65,372.34M,-2.74%
2004년 05월 13일,790.13,815.28,816.26,790.13,395.04M,-3.30%
2004년 05월 12일,817.09,802.88,820.72,801.28,387.17M,3.30%
2004년 05월 11일,791.02,789.54,802.29,776.72,362.90M,0.04%
2004년 05월 10일,790.68,831.1,831.37,771.31,403.02M,-5.73%
2004년 05월 07일,838.74,837.73,843.01,819.61,372.06M,0.13%
2004년 05월 06일,837.68,864.52,865.1,836.15,359.54M,-3.44%
2004년 05월 04일,867.48,871.57,876.3,865.68,376.76M,0.16%
2004년 05월 03일,866.11,863.03,867.25,856.84,331.73M,0.38%
2004년 04월 30일,862.84,867.99,875.51,854.39,378.72M,-1.44%
2004년 04월 29일,875.41,890.61,896.45,872.63,442.77M,-2.93%
2004년 04월 28일,901.83,917.32,919.86,901.82,373.38M,-1.49%
2004년 04월 27일,915.47,918.82,921.42,911.56,435.46M,-0.46%
2004년 04월 26일,919.74,935.01,935.28,919.27,388.05M,-1.74%
2004년 04월 23일,936.06,938.25,939.52,929.8,480.36M,1.30%
2004년 04월 22일,924.01,931.09,933.84,921.97,519.75M,-0.64%
2004년 04월 21일,929.95,910.68,931.21,910.68,554.00M,1.20%
2004년 04월 20일,918.9,909.91,919.13,902.47,456.84M,1.86%
2004년 04월 19일,902.1,900.48,902.1,891.27,476.14M,0.36%
2004년 04월 16일,898.88,903.84,908.72,897.73,391.73M,-1.90%
2004년 04월 14일,916.31,909.95,919.38,907.36,407.16M,-0.14%
2004년 04월 13일,917.63,925.19,927.67,916.2,468.92M,-0.13%
2004년 04월 12일,918.86,905.44,926.07,905.44,366.19M,1.48%
2004년 04월 09일,905.44,910.48,910.48,901.24,352.12M,-1.25%
2004년 04월 08일,916.86,913.52,916.86,908.07,431.84M,0.76%
2004년 04월 07일,909.93,906.78,915.13,903.24,528.21M,0.41%
2004년 04월 06일,906.19,899.43,906.43,898,491.56M,2.55%
2004년 04월 02일,883.69,886.09,889.6,882.82,541.84M,0.11%
2004년 04월 01일,882.75,878.78,883.23,875.09,294.60M,0.26%
2004년 03월 31일,880.5,881.75,883.88,868.41,327.69M,0.81%
2004년 03월 30일,873.46,879.41,879.41,870.86,287.74M,-0.14%
2004년 03월 29일,874.67,868.1,878.37,867.21,335.58M,1.24%
2004년 03월 26일,863.95,866.29,873.01,861.63,303.97M,1.24%
2004년 03월 25일,853.38,862.3,868.78,849.56,357.26M,-0.97%
2004년 03월 24일,861.72,860.39,867.15,856.54,311.09M,-0.51%
2004년 03월 23일,866.17,854.92,868.99,849.76,383.76M,0.29%
2004년 03월 22일,863.69,878.62,881,862.63,371.61M,-2.22%
2004년 03월 19일,883.33,874.57,883.33,868.97,425.08M,1.20%
2004년 03월 18일,872.82,879.22,879.56,869.09,488.46M,0.05%
2004년 03월 17일,872.38,858.15,872.78,857.29,524.44M,2.62%
2004년 03월 16일,850.13,843.83,850.15,838.11,440.15M,-0.25%
2004년 03월 15일,852.26,855.84,857.96,848.23,383.66M,0.41%
2004년 03월 12일,848.8,866.72,867.35,822.05,655.65M,-2.43%
2004년 03월 11일,869.93,869.67,878.1,866.33,468.74M,-0.70%
2004년 03월 10일,876.02,887.11,890.33,874.58,457.32M,-1.75%
2004년 03월 09일,891.58,891.1,893.73,888.46,474.38M,-0.95%
2004년 03월 08일,900.1,909.15,910.67,899.07,506.52M,-0.58%
2004년 03월 05일,905.38,907.21,909.08,904.01,515.73M,-0.23%
2004년 03월 04일,907.43,898.16,908.82,896.76,589.05M,1.30%
2004년 03월 03일,895.81,897.49,900.44,895.52,554.72M,-0.38%
2004년 03월 02일,899.21,892.57,899.99,892.38,489.08M,1.79%
2004년 02월 27일,883.42,865.51,883.42,861.86,458.65M,2.15%
2004년 02월 26일,864.86,870.31,873.15,861.77,522.86M,-0.23%
2004년 02월 25일,866.87,865.22,870.03,862.97,524.66M,0.26%
2004년 02월 24일,864.59,872.45,876.71,864.34,549.39M,-1.47%
2004년 02월 23일,877.52,874.93,881.43,867.99,476.21M,0.00%
2004년 02월 20일,877.49,875.76,879.63,872.42,475.49M,-0.47%
2004년 02월 19일,881.65,880.68,884.89,874.75,734.77M,0.52%
2004년 02월 18일,877.1,889.23,890.51,877.1,370.52M,-0.87%
2004년 02월 17일,884.8,884.15,888.73,880.87,435.76M,0.40%
2004년 02월 16일,881.28,879.23,885.65,876.56,437.97M,-0.10%
2004년 02월 13일,882.18,876.06,883.35,870.08,385.31M,0.48%
2004년 02월 12일,877.95,882.04,882.39,872.27,444.12M,0.18%
2004년 02월 11일,876.34,870.54,877.72,870.24,475.30M,1.10%
2004년 02월 10일,866.8,866.06,869.62,862.85,450.04M,0.23%
2004년 02월 09일,864.77,860.9,866.87,859.58,475.22M,1.71%
2004년 02월 06일,850.23,842.16,853.58,839.43,541.54M,1.11%
2004년 02월 05일,840.92,835.77,842.44,834.73,635.92M,0.65%
2004년 02월 04일,835.5,838.52,842.6,834.7,378.60M,-0.52%
2004년 02월 03일,839.87,853.13,853.13,837.63,461.98M,-1.76%
2004년 02월 02일,854.89,850.28,855.43,847.74,425.19M,0.75%
2004년 01월 30일,848.5,854.21,859.13,846.05,447.36M,-0.58%
2004년 01월 29일,853.47,851.7,854.82,847.98,365.35M,-0.71%
2004년 01월 28일,859.59,860.37,869.21,859.08,432.89M,-0.40%
2004년 01월 27일,863.03,873.61,873.61,860.88,437.71M,-0.69%
2004년 01월 26일,869.04,867.65,871.94,861.82,494.02M,0.89%
2004년 01월 20일,861.37,854.03,864.26,853.05,364.45M,0.53%
2004년 01월 19일,856.8,854.96,859.34,851.34,404.25M,1.04%
2004년 01월 16일,847.95,853.67,854.46,845.4,424.96M,0.27%
2004년 01월 15일,845.66,849.02,852.19,841.84,388.39M,-0.47%
2004년 01월 14일,849.62,847.27,855.29,844.55,453.00M,0.14%
2004년 01월 13일,848.43,855.42,855.45,844.82,400.18M,-0.28%
2004년 01월 12일,850.79,843.96,853.5,840.11,443.94M,0.65%
2004년 01월 09일,845.27,835.42,849.5,835.05,543.29M,2.56%
2004년 01월 08일,824.15,831.1,839.28,824.15,428.76M,-0.35%
2004년 01월 07일,827.07,826.08,831.07,825.23,404.56M,0.44%
2004년 01월 06일,823.43,831.26,831.26,819.53,484.06M,-0.08%
2004년 01월 05일,824.1,817.28,825.43,816.55,408.26M,0.35%
2004년 01월 02일,821.26,816.26,821.87,813.63,307.49M,1.30%
